,future_d,current_d,order 
tmp_D.179,0.257622312,0.256216038,682
tmp_D.18,0.343602257,0.333099825,761
tmp_D.180,0.00257334,0.004087385,112
tmp_D.181,0.097674419,0.093669888,375
tmp_D.182,0.273502304,0.267093395,699
tmp_D.183,0.184062293,0.173107633,559
tmp_D.184,0.159858475,0.154561488,521
tmp_D.185,0.122171946,0.117624715,439
tmp_D.186,0.170440841,0.160144181,538
tmp_D.187,0.153870359,0.14739229,502
tmp_D.188,0.222415507,0.220876586,638
tmp_D.189,0.113448845,0.109176916,416
tmp_D.19,0.203418392,0.196317551,599
tmp_D.190,0.041260485,0.042620009,243
tmp_D.191,0.218788628,0.2125,626
tmp_D.192,0.169082126,0.159505208,535
tmp_D.193,0.307011454,0.303254438,735
tmp_D.194,0,0,19
tmp_D.195,0.094995141,0.090092166,366
tmp_D.196,0.211637193,0.205323194,616
tmp_D.197,0.046975212,0.048946618,264
tmp_D.198,0.047266515,0.049152542,266
tmp_D.199,0.147521637,0.142762723,489
tmp_D.2,0.044266442,0.047963614,258
tmp_D.20,0.054347826,0.05417309,282
tmp_D.200,1.11E-16,1.11E-16,75
tmp_D.201,0,0,20
tmp_D.202,0.031638724,0.030342436,214
tmp_D.203,0.101953739,0.095825985,381
tmp_D.204,0.11913815,0.114450243,431
tmp_D.205,0.050446122,0.052318668,276
tmp_D.206,0.155798905,0.147667419,506
tmp_D.207,0.146813248,0.141687657,486
tmp_D.208,0.112490181,0.108357833,413
tmp_D.209,0.158576763,0.152517686,516
tmp_D.21,0.165678949,0.157153447,529
tmp_D.210,0.303180915,0.300773861,731
tmp_D.211,0.160224757,0.155505108,522
tmp_D.212,0.352323232,0.344032466,769
tmp_D.213,-2.22E-16,-2.22E-16,1
tmp_D.214,-2.22E-16,-2.22E-16,2
tmp_D.215,0.204545455,0.196902655,602
tmp_D.216,0.103907638,0.098113208,385
tmp_D.217,0.160471204,0.1561329,523
tmp_D.218,0.049142857,0.050284784,272
tmp_D.219,0.108357833,0.105816832,401
tmp_D.22,0,0,8
tmp_D.220,0.048642267,0.049893843,269
tmp_D.221,0.090909091,0.081878535,355
tmp_D.222,0.386849914,0.39633489,802
tmp_D.223,0.112133891,0.107727998,411
tmp_D.224,0.040543763,0.042108051,242
tmp_D.225,0.14916318,0.143024619,491
tmp_D.226,0.050429707,0.05166745,275
tmp_D.227,0.031083481,0.029192274,211
tmp_D.228,0.065685571,0.059997109,302
tmp_D.229,0.220784472,0.21776004,634
tmp_D.23,0.188464663,0.176613295,567
tmp_D.230,0,0,21
tmp_D.231,0.351385747,0.343148803,768
tmp_D.232,0.259086673,0.257916365,685
tmp_D.233,0.122934118,0.117935594,441
tmp_D.234,0.134929443,0.127200971,462
tmp_D.235,0.24122807,0.241838774,665
tmp_D.236,0.454486626,0.476704154,833
tmp_D.237,0.023342059,0.02472885,193
tmp_D.238,0.002558199,0.003746195,111
tmp_D.239,0.043303929,0.045947341,251
tmp_D.24,0.173073093,0.161423651,542
tmp_D.240,0.001012402,0.001283422,95
tmp_D.241,0,0,22
tmp_D.242,0.009689441,0.010684246,146
tmp_D.243,0.071409468,0.066443472,318
tmp_D.244,0.031115149,0.029271613,212
tmp_D.245,0.014366021,0.014664411,162
tmp_D.246,0,0,23
tmp_D.247,0.000661667,0.001209555,93
tmp_D.248,0.017879418,0.019473684,178
tmp_D.249,0.006372433,0.007209063,132
tmp_D.25,0.448141349,0.461394478,830
tmp_D.250,0.065558285,0.059466667,301
tmp_D.251,1.11E-16,1.11E-16,76
tmp_D.252,0.356856857,0.351612903,777
tmp_D.253,0.104386582,0.098314607,386
tmp_D.254,0.152933421,0.145099295,498
tmp_D.255,0,0,24
tmp_D.256,0.04390747,0.046953938,255
tmp_D.257,0.070285317,0.066295979,317
tmp_D.258,0.027145662,0.026161656,201
tmp_D.259,0.182610745,0.172131148,558
tmp_D.26,0.196799551,0.186065574,584
tmp_D.260,0.14989648,0.143743043,493
tmp_D.261,0.107053942,0.101527846,396
tmp_D.262,0.527444917,0.544946237,848
tmp_D.263,0.327266656,0.321291314,751
tmp_D.264,0.323288765,0.313745425,746
tmp_D.265,0.422350472,0.427111608,817
tmp_D.266,0.144019349,0.138736264,482
tmp_D.267,0,0,25
tmp_D.268,0.061618291,0.058296645,296
tmp_D.269,0.00228467,0.002904564,106
tmp_D.27,0.278634146,0.27345173,708
tmp_D.270,0,0,26
tmp_D.271,0.278223319,0.272281276,707
tmp_D.272,0.128139535,0.12250185,451
tmp_D.273,0.01675485,0.018008245,172
tmp_D.274,0.487051482,0.501032821,842
tmp_D.275,0.364494185,0.356856857,786
tmp_D.276,0.323293173,0.313924051,747
tmp_D.277,0.220296513,0.216526259,632
tmp_D.278,0.171827795,0.160493827,539
tmp_D.279,0.059616537,0.056485823,293
tmp_D.28,0.297367184,0.293227092,725
