n_sp,uni_range_summary,Class,mn_tmp,lwr_tmp,upr_tmp,mn_tmax,lwr_tmax,upr_tmax,mn_tmin,lwr_tmin,upr_tmin,mn_p,lwr_p,upr_p
210,Chamaeleo senegalensis,Reptilia,27.04802122,26.35078303,27.74525941,32.98766853,32.27265649,33.70268057,20.16299126,19.31078036,21.01520216,18.0671289,8.33547153,27.79878627
211,Charina bottae,Reptilia,8.264759288,7.758984956,8.77053362,0.522272728,0.07105492,0.973490536,-5.449109848,-6.103833068,-4.794386629,62.74962121,51.56644302,73.93279941
212,Charina trivirgata,Reptilia,18.15402693,16.60569315,19.70236072,16.38277,13.66154265,19.10399735,4.797179267,2.249849286,7.344509247,29.944322,26.15312919,33.73551481
213,Chelodina oblonga,Reptilia,27.92639481,27.23775872,28.6150309,35.90270779,35.38479132,36.42062425,25.52755738,24.9575325,26.09758227,198.3790081,182.8286186,213.9293977
214,Chelodina rugosa,Reptilia,27.83084143,27.62134513,28.04033773,33.05892857,32.79353412,33.32432303,25.10178571,24.87886467,25.32470676,407.9821429,395.8299593,420.1343264
215,Chelonoidis carbonarius,Reptilia,26.76743538,26.0740971,27.46077366,31.7962077,30.95372909,32.63868632,21.77643351,21.09693433,22.45593269,80.84319351,61.355388,100.330999
217,Chelonoidis denticulatus,Reptilia,26.66311206,26.36041793,26.96580619,30.76734762,30.38195307,31.15274216,22.00797529,21.72374089,22.29220969,223.1372224,205.5085251,240.7659197
219,Chelus fimbriata,Reptilia,27.80009524,27.50192711,28.09826338,33.30799463,32.85667716,33.75931211,23.20015244,22.85737126,23.54293362,124.675813,93.66101721,155.6906088
221,Chersina angulata,Reptilia,17.50642438,17.29876885,17.71407991,26.80675148,26.14452157,27.46898139,16.15714968,15.94182578,16.37247358,19.28146326,16.66362431,21.89930222
222,Chilabothrus angulifer,Reptilia,26.50365127,26.19422657,26.81307597,28.55553782,28.23130113,28.87977451,19.15180309,18.74055699,19.56304919,41.16059382,36.88050229,45.44068535
224,Chilabothrus striatus,Reptilia,26.15813421,26.00692277,26.30934565,27.82654605,27.17770337,28.47538874,18.96835711,18.73946007,19.19725414,67.51886789,59.12410448,75.91363131
227,Chinemys reevesii,Reptilia,17.11471706,16.38667211,17.84276202,8.793894571,7.517165541,10.0706236,1.187190125,-0.212993745,2.587373995,41.92319813,29.60364067,54.24275558
228,Chironius carinatus,Reptilia,26.21989364,25.51324652,26.92654075,31.09669468,30.37305005,31.8203393,21.41406091,20.72900691,22.09911491,132.1872818,103.0660685,161.3084951
229,Chironius exoletus,Reptilia,22.99025275,22.06741225,23.91309326,28.47626674,27.60221256,29.35032092,19.34091817,18.41661238,20.26522397,195.7240328,173.5088173,217.9392483
231,Chironius fuscus,Reptilia,25.70512321,24.98555071,26.42469572,30.68649875,30.03799736,31.33500015,21.37784443,20.67889629,22.07679256,213.7392536,188.3455898,239.1329174
232,Chironius multiventris,Reptilia,26.22407762,25.72822234,26.71993291,30.88919057,30.37532612,31.40305502,21.57612705,21.00661203,22.14564207,228.4882172,202.2346056,254.7418288
233,Chironius scurrulus,Reptilia,26.58118238,26.1551543,27.00721045,31.22114329,30.75306884,31.68921774,21.98536585,21.53862653,22.43210517,221.5083079,200.5508985,242.4657174
234,Chlamydosaurus kingii,Reptilia,26.90718098,26.32746569,27.48689627,33.04714345,32.63260606,33.46168083,24.71859218,24.33048828,25.10669609,314.3686154,286.2967994,342.4404314
237,Chondrodactylus bibronii,Reptilia,18.85865516,18.39522803,19.32208229,32.70225575,31.996254,33.4082575,16.5622677,16.05307687,17.07145853,21.70539575,16.88316342,26.52762809
239,Chondrodactylus pulitzerae,Reptilia,25.04321747,24.79497793,25.29145701,31.49716988,31.26379941,31.73054035,22.08099482,21.78389172,22.37809791,29.82110802,27.27295978,32.36925627
240,Christinus marmoratus,Reptilia,16.27478788,15.92155752,16.62801823,27.83172096,27.25535132,28.40809061,15.09735056,14.71956788,15.47513325,35.71715078,30.76946544,40.66483612
243,Chrysopelea paradisi,Reptilia,27.41255375,27.19159644,27.63351106,30.00671164,29.65566115,30.35776214,22.89681325,22.52046751,23.27315899,179.0410129,147.6055557,210.4764701
247,Claudius angustatus,Reptilia,26.56777385,26.24421896,26.89132874,28.09576951,27.77452772,28.4170113,17.66942007,17.24955123,18.08928891,54.8877993,45.67133011,64.10426849
248,Cnemidophorus lemniscatus,Reptilia,27.28287698,26.71447137,27.85128259,31.94981545,31.28980619,32.60982471,21.97794446,21.38003471,22.57585422,71.37615553,54.16061373,88.59169734
251,Coelognathus helena,Reptilia,25.85304697,25.28294873,26.42314521,28.6863319,28.04277689,29.32988692,16.52751507,15.69109873,17.36393141,16.65637615,7.482799396,25.8299529
253,Coelognathus radiatus,Reptilia,25.27751641,24.61225919,25.94277362,25.17235887,23.67999158,26.66472617,16.12684542,14.85522543,17.39846541,49.72003056,28.25213671,71.1879244
256,Coleonyx mitratus,Reptilia,25.63307624,25.01523882,26.25091366,29.60432915,28.84591997,30.36273833,18.95982624,18.16995742,19.74969506,30.56160569,19.40188137,41.72133001
262,Corallus batesii,Reptilia,26.08795343,25.52417885,26.651728,31.12017857,30.58383298,31.65652416,21.43285714,20.85906214,22.00665215,252.5571429,226.4548755,278.6594102
263,Corallus caninus,Reptilia,26.71681237,26.41634904,27.01727571,30.74841102,30.388737,31.10808503,22.10741525,21.74999047,22.46484003,195.4894068,174.2907999,216.6880136
